Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"A Tool for Automation of Knowledge Management Diagnostics in Software Development Companies","Knowledge Management (KM) is responsible for using the intellectual resources of an organization. KM principles are both determining and effective factors for the software product quality. Several KM process have been proposed in the literature. However, for a KM initiative to be successful, it is important to consider the current state of KM activities in a company. In this context, the objective of this work is to measure KM activities in software engineering companies by means of a tool that automates the process of KM diagnosis. This paper presents the Software Engineering KNOWledge management diagnosis (SEKNOW) tool, its main functionalities, the potential users profile and examples of use. In addition, we show how the architecture was implemented in order to make the tool extensible to multiple diagnostics and how the companies can employ the tool to fetch data to their systems. Finally, we present similar tools and compare their functionalities.","Vinicius dos Santos; João Salgado; É. Souza; K. Felizardo; N. Vijaykumar","2019","Anais Estendidos da Conferência Brasileira de Software: Teoria e Prática","10.5753/cbsoft_estendido.2019.7662","4","Include"
"Effect of knowledge management on software product experience with mediating effect of perceived software process improvement: An empirical study for Indian software industry","The software development industry is characterised by swift innovation and competition. To survive, software engineering (SE) organisations need to develop high-quality software products in a timely fashion and at low cost. Knowledge-based approaches to software development are extremely supportive to acquiring new knowledge and leveraging existing knowledge from software projects; this enables constant improvement of software development practices. In this empirical study of Indian SE organisations, we study the impact of managing knowledge for perceived software process improvement (PSPI) and its effect on software product quality. Information technology (IT) in knowledge management (KM) is an important facilitator for any SE organisation desiring to exploit evolving technologies for management of their knowledge assets and for carrying out various KM processes of knowledge capture, storage, retrieval and sharing. Surveys collected from Indian SE organisations were analysed to propose a model using a structured equation modelling (SEM) technique. Our findings reveal that the relation between KM and quality of software product is positively mediated by PSPI. These findings reinforce an arena that is of growing importance to researchers and practitioners and which has seen only a limited number of empirical studies to date in the context of Indian SE organisations.","Mitali Chugh; Nitin Chanderwal; R. Upadhyay; D. K. Punia","2019","Journal of information science","10.1177/0165551519833610","6","Include"
"Landscaping systematic mapping studies in software engineering: A tertiary study","Abstract Context A number of Systematic Mapping Studies (SMSs) that cover Software Engineering (SE) are reported in literature. Tertiary studies synthesize the secondary studies to provide a holistic view of an area. Objectives We synthesize SMSs in SE to provide insights into existing SE areas and to investigate the trends and quality of SMSs. Methodology We use Systematic Literature Review protocol to analyze and map the SMSs in SE, till August 2017, to SE Body of Knowledge (SWEBOK). Results We analyze 210 SMSs and results show that: (1) Software design and construction are most active areas in SE; (2) Some areas lack SMSs, including mathematical foundations, software configuration management, and SE tools; (3) The quality of SMSs is improving with time; (4) SMSs in journals have higher quality than SMSs in conferences and are cited more often; (5) Low quality in SMSs can be attributed to a lack of quality assessment in SMSs and not reporting information about the primary studies. Conclusion There is a potential for more SMSs in some SE areas. A number of SMSs do not provide the required information for an SMS, which leads to a low quality score.","Muhammad Uzair Khan; Salman Sherin; Muhammad Zohaib Z. Iqbal; Rubab Zahid","2019","Journal of Systems and Software","10.1016/j.jss.2018.12.018","31","Include"
"Innovative Behaviour of Employees in Organizations: A Mapping Study","Innovative behaviour can be referred as the introduction and application of new ideas, products, processes, and procedures to a person's work role or an organization. The aim of this mapping study is to investigate the areas regarding innovative behaviour of employees in software companies and also to find the research gap by using existing studies from 2008 to 2017. Aspects such as publication year and source, research type, factors affecting innovations and employee innovative behaviour and technologies have been concerned. The study was done by searching five electronic databases. Then the initial result ended up with 487 studies. After applying selection criteria to that result, a total number of 11 studies were selected. In the next stage snowballing and direct search was done to publications of researchers and research groups that accomplished these studies. This resulted in adding 6 more papers. Finally, 17 studies were identified addressing the research topic and answering research questions. A lot of studies were found regarding innovations in organizations and there were few studies about innovative behaviour of employees, but mapping study clearly shows an increase in the interest of the research topic in the recent years. Thus employees are the driving forces of innovations, most of the research papers discussing about innovations have also focused on the employee innovative behaviour. Besides, papers have discussed the factors affecting the employee innovative behaviour. Some of those papers have proposed innovative models to improve innovations. So as the conclusion, the findings show that innovative behaviour of employees is a very important area to consider to enhance innovations in organizations and also more studies should be done regarding the research topic. KEYWORDS: Innovative behaviour, Innovations, Knowledge sharing","S. Vasanthapriyan","2018","International Journal of Multidisciplinary Studies","10.4038/ijms.v5i2.95","3","Include"
"Towards Development of Software Testing Competency Framework to Empower Software Testers’ Profession","Separation of job functions between developers and testers due to enforcement of Software Quality Assurance (SQA) concept in software development has created worldwide demands for highly skillful software testers. This job function separation is to ensure that the systems or applications being developed are transparent at its testing activities. This will eventually lead to better quality of software products that will minimize impact or issues regarding software or system errors, bugs or faults. The aim of this article is to discuss on the current nature of software testing industry for identification of competencies issues or challenges related to software testers. This paper is intended to propose a software testing competency development framework as a job profiling, competencies assessment, training needs and professional career development for software testers. It is targeted that the proposed competency development framework will benefit software tester as individual, public or private agencies as organizations and education institutions as academia.  ","Hariaty Mohd Idrus; N. Ali","2018","International journal of engineering and technology","10.14419/ijet.v7i4.35.23101","-","Include"
"Using meta-ethnography to synthesize research on knowledge management and agile software development methodology","Context: Software development processes are considered as knowledge intensive and therefore Knowledge Management (KM) can be applied to efficiently manage the knowledge generated. Agile practices can benefit the software organizations in terms of KM. Some studies have already presented evidence about this relationship. However, the intersection of these two areas still require further more clarification. Objective: This study aims to synthesize research on KM and Agile Software Development (ASD) using the meta-ethnography method. Method: In order to achieve the proposed goal, first, we applied the seven phases of meta-ethnography analysis method on a five articles selected from a tertiary study on KM and ASD. Second, the relations identified between the areas investigated were analysed from interviews with three agile development methodology experts. Results: A relation map that summarizes the synthesis identified between KM, agile values and scrum activities was created. Conclusion: There is a significant contribution in KM and ASD for both software engineering academics and industry.","Glauco Antonio Ruiz; B. Napoleão; É. Souza; K. Felizardo; G. V. Meinerz; P. R. Silva; N. Vijaykumar","2018","Brazilian Symposium on Software Quality","10.1145/3275245.3275270","4","Include"
"Knowledge Management Diagnostics in Software Development Organizations: a Systematic Literature Review","Context: Managing knowledge is one of the main challenges for software development organizations. Thus, the principles of Knowledge Management (KM) are presented as determinant and effective factors for the software product quality. There are several approaches to applying KM in an organization. However, for a KM approaches to succeed, it is important to conduct a KM diagnostic in order to analyze the KM current state that already exists in the organization. Objective: The objective of this paper is to present the results of a Systematic Literature Review (SLR) conducted to summarize existing research on KM diagnostic in software development organizations. Method: SLR was performed by searching four electronic databases. We also performed backward snowballing from reference lists of selected studies. Results: From the SLR, we identified 24 studies addressing investigated differents approaches related to KM diagnostics in software development organizations. Conclusion: Based on our results we conclude that in the software engineering context the KM diagnosis practice still does not seem consolidated.","Claudia P. C. Maciel; É. Souza; R. Falbo; K. Felizardo; N. Vijaykumar","2018","Brazilian Symposium on Software Quality","10.1145/3275245.3275260","8","Include"
"Evaluating strategies for forward snowballing application to support secondary studies updates: emergent results","Context: Secondary studies should be updated from time to time to include new evidence to preserve their value. It is recognized that one search technique to update secondary studies is forward snowballing and that the number of studies identified is dependent on the electronic databases selected. However, there is no consensus on what electronic database is most appropriate for applying forward snowballing. Objective: The main goal of this study is to evaluate the use of different electronic databases for applying forward snowballing to update secondary studies. Method: Six updates were performed using forward snowballing with support from two electronic databases, one specific (IEEE Xplore) and the other generic (Google Scholar) and three combinations were evaluated to obtain new evidence during secondary studies updating: (1) searching using Google Scholar as electronic database; (2) searching using IEEE Xplore as electronic database; and (3) searching using both, IEEE Xplore and Google Scholar as complementary electronic databases. Results: The use of a specific electronic database is not indicated for forward snowballing application to update SLRs, since many relevant studies may not be identified. However, the use of a generic database is sufficient to discover the majority of the studies. Conclusions: The emergent contribution of our work to the body of knowledge in the SLR field is to add empirical evidence regarding the use of different electronic databases to support forward snowballing application during secondary studies updates. These results should help reviewers when they decide to find evidences to update their SLRs.","K. Felizardo; A. G. D. Silva; É. Souza; N. Vijaykumar; E. Nakagawa","2018","Brazilian Symposium on Software Engineering","10.1145/3266237.3266240","12","Include"
"A Study on the Evolution of Carbon Capture and Storage Technology Based on Knowledge Mapping","As a useful technical measure to deal with the problem of carbon dioxide (CO2) emissions, carbon capture and storage (CCS) technology has been highly regarded in both theory and practice under the promotion of the Intergovernmental Panel on Climate Change (IPCC). Knowledge mapping is helpful for understanding the evolution in terms of research topics and emerging trends in a specific domain. In this work knowledge mapping of CCS technology was investigated using CiteSpace. Several aspects of the outputs of publications in the CCS research area were analyzed, such as annual trends, countries, and institutions. The research topics in this particular technology area were analyzed based on their co-occurring keyword networks and co-citation literature networks, while, the emerging trends and research frontiers were studied through the analysis of burst keywords and citation bursts. The results indicated that the annual number of publications in the research field of CCS technology increased rapidly after 2005. There are more CCS studies published in countries from Asia, North America, and Europe, especially in the United States and China. The Chinese Academy of Sciences not only has the largest number of publications, but also has a greater impact on the research area of CCS technology, however, there are more productive institutions located in developed countries. In the research area of CCS technology, the main research topics include carbon emissions and environmental protection, research and development activities, and social practical issues, meanwhile, the main emerging trends include emerging techniques and processes, emerging materials, evaluation of technological performance, and socioeconomic analysis.","Hong Qiu; Luyao Liu","2018","Energies","10.3390/en11051103","32","Include"
"Modeling and automatic code generation for wireless sensor network applications using model-driven or business process approaches: A systematic mapping study","-","Sérgio Teixeira; Bruno Alves Agrizzi; J. Filho; Silvana Rossetto; R. Baldam","2017","Journal of Systems and Software","10.1016/j.jss.2017.06.024","22","Include"
"Knowledge Management Systems Based on Topic Maps Theory",": The aim of the paper is to summarize the experience gained from the research and the constructions of the Knowledge Management Systems (KMS) based on the ontology engineering. Computational ontologies are the means to formally model the structure of a sys-tem, to discover the entities and relations that emerge from its observation, and which are useful to the system purposes. In our projects, we utilize the Topic Maps Theory and the tools based on this technology (e.g. ATOM2). The key point of the solution is the ontology development; our methodology procedure is presented; the improvement of the methodology and the future research goals are oriented to automate the procedure steps. During the process, the text mining tools (e.g. TOVEK) and other analytical tools are used. At the end of the paper, the summary of the experience with the methodology application is presented.","Buřita; Halouzka; Malý; Ondryhal","2017","Advances in Military Technology","10.3849/aimt.01168","1","Include"
"Knowledge Mapping Process Model for Risk Mitigation in Software Management","As software organizations try to mitigate operational and technical risk that occurs when using software, there is need to develop a knowledge intensive system to assist team members in mitigating both operational and technical risk. Knowledge mapping in risk mitigation context is in its infancy and has the potential to address both operational and technical risk faced by software organizations. However, as the amount and depth of organizational knowledge increases, it poses some challenges to software organizations. The key challenges for knowledge intensive organizations are how to identify, assimilate, disseminate, and apply these risk knowledge; particularly between different team members in same software development project. Thus this paper proposes a knowledge mapping process model to assist in mitigating risk (operational and technical) that occurs in software organizations. Knowledge mapping is the field within Knowledge Management (KM) that aims to optimize the efficient and effective use of the organization’s knowledge. The mapping process model can support software management teams in measuring and treating risk, thus aiding decision making in software management. Data was collected using semi-structured interview through case study. The interview transcripts were coded and categorized using Nvivo software. Keywords: Knowledge Map, Knowledge Mapping Technique, Risk Mitigation, Software Management, Nvivo","Bokolo Anthony Jnr.; Noraini Che Pa; R. Nor; Yusmadi Jah Josoh","2017","International Journal of Computer Systems & Software Engineering","10.15282/ijsecs.3.2017.1.0023","4","Include"
"ROoST: Reference Ontology on Software Testing","-","É. Souza; R. Falbo; N. Vijaykumar","2017","Appl. Ontology","10.3233/ao-170177","39","Include"
"Semantic-Based Test Case Generation","Software testing is a major V&V activity that revolves around quality test cases. Generating quality test cases is inherently knowledge intensive, tedious and expensive task that is traditionally done by humans. Therefore, a great deal of research has been done to facilitate and automate test case generation as much as possible. Given the knowledge intensity of software test case generation, various knowledge management techniques, such as semantic-based techniques, are applicable. The main focus of our research is automatic generation of quality test cases using available knowledge from the early stages of software development, i.e. the RE. Our goal is to develop a semantic web enabled framework for integrating knowledge from various requirement models to generate effective and efficient test cases automatically. We are going to apply semantic technology to facilitate the test case generation process by means of ontologies and Web of Data.","Mahboubeh Dadkhah","2016","International Conference on Information Control Systems & Technologies","10.1109/icst.2016.47","1","Include"
"Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing","A mapping study provides a broad overview of a research area in order to determine whether there is research evidence on a particular topic. Results of a systematic mapping may identify suitable areas for performing future research. In this paper, we discuss our experience in using the findings of a mapping study on Knowledge Management (KM) in Software Testing for performing a real research project, which also applied other empirical approaches. The main goals of this paper are: (i) to reinforce the importance of a systematic mapping in the conduction of a research project by discussing a real case of such application, and (ii) to present the results of our survey on the most important aspects of KM when applied to software testing.","É. Souza; R. Falbo; N. Vijaykumar","2015","EUROMICRO Conference on Software Engineering and Advanced Applications","10.1109/seaa.2015.10","4","Include"
"Social Capital and Knowledge Networks of Software Developers","Software development is a problem-solving activity, where ideas are combined in complex ways to create a software product that embodies new knowledge. In this endeavor, software developers constantly look for actionable knowledge to help solve the problem at hand. While knowledge management efforts in the software development domain traditionally involved technical initiatives such as knowledge repositories, experience factories, and lessons-to-learn databases, there is a growing appreciation in the software community of the role of developers' personal knowledge networks in software development. However, research is scarce on the nature of these networks, the knowledge resources accessed from these networks, and the differences, if any, between developers of different experience levels. This research seeks to fill this void. Based on a case study in a software development organization, this research explores the nature of knowledge networks of developers from a social capital perspective. Specifically, it examines the structural and relational dimensions of developers' knowledge networks, identifies the specific actionable knowledge resources accessed from these networks, and explores how entry-level and more experienced developers differ along these dimensions. The findings from the qualitative analysis, backed by limited quantitative analysis of the case study data underpin the discussion, implications for practice and future research directions.","Venugopal Balijepally; Sridhar P. Nerur","2022","Research Anthology on Agile Software, Software Development, and Testing","10.4018/978-1-6684-3702-5.ch064","-","Include"
"Evolution of Software Testing Strategies and Trends: Semantic Content Analysis of Software Research Corpus of the Last 40 Years","From the early days of computer systems to the present, software testing has been considered as a crucial process that directly affects the quality and reliability of software-oriented products and services. Accordingly, there is a huge amount of literature regarding the improvement of software testing approaches. However, there are limited reviews that show the whole picture of the software testing studies covering the topics and trends of the field. This study aims to provide a general figure reflecting topics and trends of software testing by analyzing the majority of software testing articles published in the last 40 years. A semi-automated methodology is developed for the analysis of software testing corpus created from core publication sources. The methodology of the study is based on the implementation of probabilistic topic modeling approach to discover hidden semantic patterns in the 14,684 published articles addressing software testing issues between 1980 and 2019. The results revealed 42 topics of the field, highlighting five software development ages, namely specification, detection, generation, evaluation, and prediction. The recent accelerations of the topics also showed a trend toward prediction-based software testing actions. Additionally, a higher trend on the topics concerning “Security Vulnerability”, “Open Source” and “Mobile Application” was identified. This study showed that the current trend of software testing is towards prediction-based testing strategies. Therefore, the findings of this study may provide valuable insights for the industry and software communities to be prepared for the possible changes in the software testing procedures using prediction-based approaches.","Fatih Gurcan; Gonca Gokce Menekse Dalveren; N. Cagiltay; D. Roman; A. Soylu","2022","IEEE Access","10.1109/access.2022.3211949","28","Include"
"An Ontology Based Test Case Prioritization Approach in Regression Testing",": Regression testing is a widely studied research area, with the aim of meeting the quality challenges of software systems. To achieve a software system of good quality, we face high consumption of resources during testing. To overcome this challenge, test case prioritization (TCP) as a sub-type of regression testing is continuously investigated to achieve the testing objectives. This study provides an insightinto proposing the ontology-basedTCP (OTCP) approach, aimed at reducing the consumption of resources for the quality improvement and maintenance of software systems. The proposed approach uses software metrics to examine the behavior of classes of software systems. It uses Binary Logistic Regression (BLR) and AdaBoostM1 classifiers to verify correct predictions of the faulty and non-faulty classes of software systems. Reference ontology is used to match the code metrics and class attributes. We investigated five Java programs for the evaluation of the proposed approach, which was used to achieve code metrics. This study has resulted in an average percentage of fault detected (APFD) value of 94.80%, which is higher when compared to other TCP approaches. In future works, large sized programs in different languages can be used to evaluate the scalability of the proposed OTCP approach.","Muhammad Hasnain; S. Jeong; M. F. Pasha; I. Ghani","2021","Computers Materials & Continua","10.32604/cmc.2021.014686","2","Include"
"Investigating Software Testing Practices in Software Development Organizations","Software testing, which is a knowledge-intensive and collaborative activity, is a sub-area of software engineering. Software testing knowledge can be applied to different testing tasks and purposes. Since software development is an error-prone task, in order to achieve quality software products, validation and verification should be carried throughout the development. This study, using qualitative methods, investigates the current practice of software testing practices in two software companies on the basis that they both claimed to apply software testing practices in their software development work. Interview results revealed some interesting latest trends in software testing from both companies.","S. Vasanthapriyan","2020","Advances in computer and electrical engineering book series","10.4018/978-1-7998-2531-9.ch011","-","Include"
"Domain Ontology Construction and Evaluation for the Entire Process of Software Testing","As an important part of software engineering, software testing is a knowledge-intensive work. In the process of software testing, inconsistent knowledge expression, diverse knowledge carriers, and a few experienced people have mastered most of the knowledge, which hinders the transfer and sharing of domain knowledge. Ontology is widely used in various stages of software engineering to define the semantic relationship between relevant information and knowledge. To solve the problem of knowledge silo in the process of software testing, this article forms an Entire Process Ontology on Software Testing (EPOST). EPOST covers the concepts and relationships of software testing process information, software test object information, and software defect information. The concepts and terms in the ontology are extracted from ISTQB, SWEBOK, IEEE std.829-2008 standard, and IEEE std.610.12-1990 standard. We adopt a comprehensive ontology construction method based on Dev. 101 method and Methontology method. The developed ontology is successfully evaluated by using validation and verification tests. Ontology verification uses an improved FOCA evaluation method by adding a cohesion metric. The evaluation result infers that EPOST has a high quality of ontology and good domain coverage, and achieves the purpose of ontology construction. Finally, we make a case study on the role of EPOST in software testing process. The results show that ontology-based application in the software testing process can promote the sharing and transmission of domain knowledge, and improve the testing process and testing quality.","Zhe Sun; Chi Hu; Chunlei Li; Linbo Wu","2020","IEEE Access","10.1109/access.2020.3037188","11","Include"
"Extraction of Useful Information from Unstructured Data in Software Engineering: A Systematic Mapping","-","P. R. Silva; Vinicius dos Santos; É. Souza; G. V. Meinerz; K. Felizardo; N. Vijaykumar","2020","Conferencia Iberoamericana de Software Engineering","-","2","Include"
"Knowledge Sharing Initiatives in Software Companies","This mapping study aims to investigate knowledge sharing initiatives in software companies based on existing studies from 2005 to 2017. Initially, search string was applied in seven digital repositories. Snowballing and direct search on publications were conducted to reduce the limitation of accessing specific databases. Regarding 15 selected studies, a variety of aspects; publication year and source, research type, purpose, and types of knowledge been used; were concerned. According to findings, a majority of studies have been focused on factors affecting knowledge sharing and point out organizational commitment as the most undergoing influencer on knowledge sharing. Findings further prove criticality of knowledge sharing for sustainability of software companies. Contrary to that, findings provide convincing evidence on improper knowledge sharing systems as the highly referred problem associated with knowledge sharing in software companies and provide new directions to future research.","S. Vasanthapriyan","2019","Human Factors in Global Software Engineering","10.4018/978-1-5225-9448-2.ch004","1","Include"
"Knowledge Management in Software Testing: A Systematic Snowball Literature Review","Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the benefits that it provides in terms of cost, quality, etc. Aim: To investigate the usage and implementation of KM for software testing. The major objectives include 1. To identify various software testing aspects that receive more attention while applying KM. 2. To analyse multiple software testing techniques, i.e. test design, test execution and test result analysis and highlight KM involvement in these. 3. To gather challenges faced by industry due to the lack of KM initiatives in software testing. Method: A Systematic Literature Review (SLR) was conducted utilizing the guidelines for snowballing reviews by Wohlin. The identified studies were analysed in relation to their rigor and relevance to assess the quality of the results. Results: The initial resulting set provided 4832 studies. From these, 35 peer-reviewed papers were chosen among which 31 are primary, and 4 are secondary studies. The literature review results indicated nine testing aspects being in focus when applying KM within various adaptation contexts and some benefits from KM application. Several challenges were identified, e.g., improper selection and application of better-suited techniques, a low reuse rate of software testing knowledge, barriers in software testing knowledge transfer, no possibility to quickly achieve the most optimum distribution of human resources during testing, etc. Conclusions: The study brings supporting evidence that the application of KM in software testing is necessary, e.g., to increase test effectiveness, select and apply testing techniques. The study outlines the testing aspects and testing techniques that benefit their users.","K. Wnuk; Thrinay Garrepalli","2018","e-Informatica Software Engineering Journal","10.5277/e-inf180103","35","Include"
"Pauliceia 2 . 0 : A Spatiotemporal Platform for Digital Humanities View project","-","Claudia P. C. Maciel; É. Souza; N. Vijaykumar; R. Falbo; G. V. Meinerz; K. Felizardo","2018","-","-","-","Include"
"Modelo de gestión de conocimiento aplicado a las pruebas de software","Las pruebas de software son una actividad intensiva en conocimiento y relevante para asegurar la calidad del producto de software. Por otro lado, la gestion de conocimiento es una disciplina transversal en las organizaciones que contribuye al aprendizaje organizacional y a la mejora continua de los procesos. A nivel academico y empresarial, existen varias iniciativas para articular la gestion del conocimiento a las pruebas de software, siendo la adopcion de estas practicas costosas y con largos periodos de implementacion, y en algunos casos, el esfuerzo invertido resulta infructuoso. Partiendo que el individuo es el principal dinamizador de cualquier estrategia para gestionar el conocimiento, las organizaciones intensivas en conocimiento deben ser analizadas como un sistema multicapa que integran tres niveles individual, grupal y organizacional. En consecuencia, en esta tesis se presenta un modelo de gestion de conocimiento que articula las practicas y actividades de las pruebas de software desde una estrategia individual basada en los principios de mejora continua y aprendizaje organizacional. El modelo se soporta en la definicion de un proceso de prueba personal basado en conocimiento (PTPk) que instancia la estructura e intencionalidad del proceso de software personal (PSP) e integra practicas de calidad a traves del aprendizaje basado en experiencias que inciden en la cultura y la conducta del profesional de pruebas de software.","D. Duran","2018","-","-","1","Include"
"Individual, organizational, technological and industry factors effects on innovation capability of dairy SMEs in Pakistan : knowledge sharing as mediated","Existing literature reveals a gap in the empirical knowledge on innovation capability in the dairy sector of Punjab, Pakistan. Innovation capability is a key player in the growth and success of a business. Therefore, the major objective of this study was to examine the mediating role of knowledge sharing on trust, motivation, training & development, supervisor support, ICT use, and industry cluster resources with innovation capability of the dairy sector. This research contributes to the growth of GDP through the dairy sector. The research framework in the study was based on the diffusion of innovation and the resource- based view theories. The data were collected from dairy farm owners and managers in the study locality, i.e. Punjab, Pakistan. The study instrument was 410 self- administered questionnaires which were distributed to the dairy farm mangers/owners through the simple random sampling technique. 254 valid questionnaires were used for the analysis. The SPSS and SMART PLS 3.0 were used for the basic screening of the raw data and testing the hypothetical statements. The study found that motivation, training & development, supervisor support and industry cluster resources have positive significant impacts on knowledge- sharing. Furthermore, motivation, training & development, ICT used and industry cluster resources also have positive impacts on innovation capability; and knowledge- sharing mediated the relationship between motivation, training & development, supervisor support and innovation capability. The results of the study provide important insights to outcome, policy- makers and researchers to further understand the effects of the innovation capability of dairy SMEs (small medium enterprises) in Pakistan. This study suggested that managers and owners of dairy farms must provide motivation, training & development and supervisor support to enhance the innovation capability of dairy workers.","M. Ullah","2017","UUM Electronic Theses and Dissertation [eTheses] (Northern University of Malaysia)","-","4","Include"
"GUI TESTING OF ANDROID APPLICATIONS : A SYSTEMATİC MAPPING Submitted by MUZAFFER AYDIN","-","-","2015","-","-","-","Include"
"Ontology-based Software Test Case Generation (OSTAG)","Testing is a paramount quality assurance activity in every software developmentproject, especially for embedded, safety critical systems. During thetest process, a lot of effort is put into the generation of test cases. The presentedOSTAG project aimed at developing methods and techniques to automate thesoftware test case generation for black-box testing. The proposed approach wasbased on the creation of a software requirements ontology and the applicationof inference rules on the ontology to derive test cases. The ontology representsknowledge of the requirements, the software system and the corresponding applicationdomain while the inference rules formalize knowledge from documentsand experienced testers in the domain of test planning and test case generation.A software prototype of the approach was implemented and one of the industrialproject partners evaluated the results. An alternative method for generating testcases, based on genetic algorithms, was also explored.","Vladimir Tarasov; He Tan; A. Adlemo; Anders Andersson; Ismail J Muhammad; Mats E. Johansson; Daniel Olsson","2015","European Projects in Knowledge Applications and Intelligent Systems","10.5220/0007901301350159","2","Include"
"Key Issues in Software Testing in Quality Assurance and Recommendations for Improvement","-","EasyChair Preprint; M. Afzal; Sidra Yousaf; Saleem Zubair","-","-","-","-","Include"
