Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Lesoil, Luc; Acher, Mathieu; Blouin, Arnaud; Jézéquel, Jean-Marc; ",The Interaction between inputs and configurations fed to software systems: An empirical study,arXiv preprint arXiv:2112.07279,,,,2021,
"Fernandez-Amoros, David; Heradio, Ruben; Horcas Aguilera, Jose Miguel; Galindo, José A; Benavides, David; Fuentes, Lidia; ",Pragmatic Random Sampling of the Linux Kernel: Enhancing the Randomness and Correctness of the conf Tool,Proceedings of the 28th ACM International Systems and Software Product Line Conference,,,24-35,2024,
"Guégain, Edouard; Bonvoisin, Alexandre; Quinton, Clément; Acher, Mathieu; Rouvoy, Romain; ",Exploring Performance Trade-offs in JHipster,arXiv preprint arXiv:2409.16480,,,,2024,
"Iqbal, Md Shahriar; Krishna, Rahul; Javidian, Mohammad Ali; Ray, Baishakhi; Jamshidi, Pooyan; ",CADET: Debugging and fixing misconfigurations using counterfactual reasoning,arXiv preprint arXiv:2010.06061,,,,2021,
"Garber, Damian; Burgstaller, Tamim; Felfernig, Alexander; Le, Viet-Man; Lubos, Sebastian; Tran, Trang; Erdeniz, Seda Polat; ",Collaborative Recommendation of Search Heuristics For Constraint Solvers.,ConfWS,23,,25th,2023,
"Güthing, Lukas; Pett, Tobias; Schaefer, Ina; ",Out-of-the-Box Prediction of Non-Functional Variant Properties Using Automated Machine Learning,Proceedings of the 28th ACM International Systems and Software Product Line Conference,,,82-87,2024,
"Krishna, Rahul; Iqbal, Md Shahriar; Javidian, Mohammad Ali; Ray, Baishakhi; Jamshidi, Pooyan; ",Cadet: Debugging and fixing misconfigurations using counterfactual reasoning,arXiv preprint arXiv:2010.06061,,,,2020,
"Damasceno, Carlos Diego N; Strüber, Daniel; ",Family-Based Fingerprint Analysis: A Position Paper,A Journey from Process Algebra via Timed Automata to Model Learning: Essays Dedicated to Frits Vaandrager on the Occasion of His 60th Birthday,,,137-150,2022,Springer
"Sondur, Sanjeev; Kant, Krishna; ",Performance health index for complex cyber infrastructures,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,7,1,1-32,2022,"ACM New York, NY"
"Guégain, Édouard; Bonvoisin, Alexandre; Acher, Mathieu; Quinton, Clément; Rouvoy, Romain; ",Exploring Performance of Configurable Software Systems: the JHipster Case Study,EASE'25-29th International Conference on Evaluation and Assessment in Software Engineering,,,,2025,
"Felfernig, Alexander; Falkner, Andreas; Benavides, David; ",Tools and Applications,"Feature Models: AI-Driven Design, Analysis and Applications",,,95-120,2024,Springer
"Ding, Yi; Pervaiz, Ahsan; Krishnan, Sanjay; Hoffmann, Henry; ",Bayesian learning for hardware and software configuration co-optimization,"Univ. Chicago Dept. Comput. Sci., Tech. Rep. TR-2020–13",,,,2020,
